Scaled Voxel Centers:
 [ 1.02241544e+02  1.07131666e+02 -1.92841903e+01]
 [ 9.93423233e+01  1.07800108e+02 -1.90903144e+01]
 [ 9.58903895e+01  1.07770362e+02 -1.87865755e+01]
 [ 9.29552135e+01  1.08218437e+02 -1.85797745e+01]
 [ 8.98438743e+01  1.08368337e+02 -1.83341984e+01]
 [ 8.66629777e+01  1.08327110e+02 -1.80692346e+01]
 [ 8.56937874e+01  1.11036605e+02 -1.82695731e+01]
 [ 8.55741268e+01  1.14978747e+02 -1.86702499e+01]
 [ 8.73953300e+01  1.21811688e+02 -1.95297665e+01]
 [ 8.56170982e+01  1.23844750e+02 -1.96137794e+01]
 [ 8.32718740e+01  1.25068343e+02 -1.95750042e+01]
 [ 6.90799186e+01  1.07789064e+02 -1.66797906e+01]
 [ 6.75215191e+01  1.09523894e+02 -1.67638035e+01]
 [ 7.37623270e+01  1.24464421e+02 -1.88512008e+01]
 [ 7.11559077e+01  1.24996578e+02 -1.87413378e+01]
 [ 6.84345515e+01  1.25258534e+02 -1.85991621e+01]
 [ 6.57718877e+01  1.25551985e+02 -1.84699115e+01]
 [ 6.31199394e+01  1.25791169e+02 -1.83406609e+01]
 [ 6.03939424e+01  1.25797734e+02 -1.81855602e+01]
 [ 5.79558924e+01  1.26333972e+02 -1.81144723e+01]
 [ 5.53385949e+01  1.26414988e+02 -1.79852217e+01]
 [ 5.28316546e+01  1.26672476e+02 -1.78882838e+01]
 [ 5.01498180e+01  1.26420527e+02 -1.77267205e+01]
 [ 1.33522854e+02  2.56050814e+01 -6.36492139e+00]
 [ 1.33691298e+02  2.80588547e+01 -6.39538677e+00]
 [ 1.33960745e+02  3.05596531e+01 -6.43288263e+00]
 [ 1.34183153e+02  3.30783198e+01 -6.47037848e+00]
 [ 1.33777389e+02  3.54600836e+01 -6.47975245e+00]
 [ 1.33906886e+02  3.80017642e+01 -6.51724830e+00]
 [ 1.34466985e+02  4.07036915e+01 -6.57817907e+00]
 [ 1.33924780e+02  4.30992650e+01 -6.58755303e+00]
 [ 1.34050147e+02  4.57307331e+01 -6.63207936e+00]
 [ 1.33841468e+02  4.82777167e+01 -6.66254474e+00]
 [ 1.33771388e+02  5.09024872e+01 -6.70238409e+00]
 [ 1.33417697e+02  5.34463845e+01 -6.73050598e+00]
 [ 1.33522890e+02  5.62069779e+01 -6.78440627e+00]
 [ 1.33754883e+02  5.90682336e+01 -6.84768052e+00]
 [ 1.33836202e+02  6.19125027e+01 -6.90626780e+00]
 [ 1.33633170e+02  6.46684597e+01 -6.95313762e+00]
 [ 1.33686740e+02  6.75941032e+01 -7.01641187e+00]
 [ 1.34076496e+02  7.07512846e+01 -7.10077754e+00]
 [ 1.34001482e+02  7.37253156e+01 -7.16405180e+00]
 [ 1.34210109e+02  7.69170898e+01 -7.24607398e+00]
 [ 1.34562195e+02  8.02664659e+01 -7.33981362e+00]
 [ 1.34709888e+02  8.35721006e+01 -7.42652279e+00]
 [ 1.34488117e+02  8.67172680e+01 -7.49682751e+00]
 [ 1.35152790e+02  9.05201426e+01 -7.62103253e+00]
 [ 1.35313996e+02  9.40865771e+01 -7.72180264e+00]
 [ 1.35391017e+02  9.76858145e+01 -7.82257275e+00]
 [ 1.36624057e+02  1.02244972e+02 -7.99599108e+00]
 [ 1.32364274e+02  1.02706554e+02 -7.85069465e+00]
 [ 1.27663075e+02  1.02675466e+02 -7.67727632e+00]
 [ 1.23657208e+02  1.03056983e+02 -7.54369733e+00]
 [ 1.37501487e+02  1.02136727e+02 -4.35732522e-01]
 [ 1.36675812e+02  1.01986507e+02 -4.33821973e-01]
 [ 1.36131888e+02  1.02043396e+02 -4.32803014e-01]
 [ 1.35908333e+02  1.02339352e+02 -4.32803014e-01]
 [ 1.35404623e+02  1.02423382e+02 -4.31911424e-01]
 [ 1.34263364e+02  1.02021047e+02 -4.28981916e-01]
 [ 1.33044917e+02  1.01553481e+02 -4.25797668e-01]
 [ 1.32464864e+02  1.01568534e+02 -4.24651338e-01]
 [ 1.31885374e+02  1.01581555e+02 -4.23505009e-01]
 [ 1.31108476e+02  1.01439345e+02 -4.21721830e-01]
 [ 1.30688607e+02  1.01570750e+02 -4.21084980e-01]
 [ 1.30110934e+02  1.01577574e+02 -4.19938651e-01]
 [ 1.29809627e+02  1.01798633e+02 -4.19683911e-01]
 [ 1.29154012e+02  1.01740048e+02 -4.18282842e-01]
 [ 1.28617060e+02  1.01772286e+02 -4.17263883e-01]
 [ 1.28002199e+02  1.01740371e+02 -4.15990183e-01]
 [ 1.27427216e+02  1.01737502e+02 -4.14843854e-01]
 [ 1.27126240e+02  1.01951876e+02 -4.14589114e-01]
 [ 1.26357094e+02  1.01788539e+02 -4.12805935e-01]
 [ 1.26017371e+02  1.01968746e+02 -4.12423825e-01]
 [ 1.25444366e+02  1.01958505e+02 -4.11277496e-01]
 [ 1.25065909e+02  1.02104559e+02 -4.10768016e-01]
 [ 1.24687403e+02  1.02249459e+02 -4.10258537e-01]
 [ 1.24270225e+02  1.02361362e+02 -4.09621687e-01]
 [ 1.23583151e+02  1.02248548e+02 -4.08093248e-01]
 [ 1.22820161e+02  1.02069239e+02 -4.06310069e-01]
 [ 1.22596587e+02  1.02336224e+02 -4.06310069e-01]
 [ 1.22065534e+02  1.02345419e+02 -4.05291109e-01]
 [ 1.21573323e+02  1.02385030e+02 -4.04399520e-01]
 [ 1.21005080e+02  1.02358327e+02 -4.03253191e-01]
 [ 1.20399385e+02  1.02297226e+02 -4.01979491e-01]
 [ 1.19756456e+02  1.02201482e+02 -4.00578422e-01]
 [ 1.19038501e+02  1.02038277e+02 -3.98922613e-01]
 [ 1.18815005e+02  1.02297034e+02 -3.98922613e-01]
 [ 1.18401621e+02  1.02391583e+02 -3.98285763e-01]
 [ 1.17837220e+02  1.02353513e+02 -3.97139434e-01]
 [ 1.17613036e+02  1.02609656e+02 -3.97139434e-01]
 [ 1.16785910e+02  1.02337464e+02 -3.95101515e-01]
 [ 1.16486611e+02  1.02525174e+02 -3.94846775e-01]
 [ 1.16149544e+02  1.02678915e+02 -3.94464666e-01]
 [ 1.15587771e+02  1.02632262e+02 -3.93318336e-01]
 [ 1.15176191e+02  1.02716923e+02 -3.92681487e-01]
 [ 1.14690214e+02  1.02733493e+02 -3.91789897e-01]
 [ 1.14279145e+02  1.02815390e+02 -3.91153047e-01]
 [ 1.13793987e+02  1.02828868e+02 -3.90261458e-01]
 [ 1.13309314e+02  1.02840725e+02 -3.89369868e-01]
 [ 1.12973094e+02  1.02985856e+02 -3.88987759e-01]
 [ 1.12304523e+02  1.02825790e+02 -3.87459320e-01]
 [ 1.11858256e+02  1.02866600e+02 -3.86695100e-01]
 [ 1.11338806e+02  1.02838033e+02 -3.85676141e-01]
 [ 1.11260360e+02  1.03216205e+02 -3.86185620e-01]
 [ 1.10924436e+02  1.03355676e+02 -3.85803510e-01]
 [ 1.11173176e+02  1.04041397e+02 -3.87459320e-01]
 [ 1.11054730e+02  1.04385879e+02 -3.87841429e-01]
 [ 1.11117285e+02  1.04902143e+02 -3.88860389e-01]
 [ 1.11287072e+02  1.05522492e+02 -3.90261458e-01]
 [ 1.11454665e+02  1.06144084e+02 -3.91662527e-01]
 [ 1.11149865e+02  1.06317137e+02 -3.91407787e-01]
 [ 1.11133591e+02  1.06766774e+02 -3.92172007e-01]
 [ 1.11115878e+02  1.07216846e+02 -3.92936226e-01]
 [ 1.11132666e+02  1.07702181e+02 -3.93827816e-01]
 [ 1.11183717e+02  1.08223015e+02 -3.94846775e-01]
 [ 1.11447760e+02  1.08954507e+02 -3.96629954e-01]
 [ 1.11316289e+02  1.09301931e+02 -3.97012064e-01]
 [ 1.11326372e+02  1.09789877e+02 -3.97903654e-01]
 [ 1.11477085e+02  1.10419272e+02 -3.99304723e-01]
 [ 1.11341711e+02  1.10767460e+02 -3.99686833e-01]
 [ 1.11417777e+02  1.11327833e+02 -4.00833162e-01]
 [ 1.11527247e+02  1.11924515e+02 -4.02106861e-01]
 [ 1.11352640e+02  1.12237965e+02 -4.02361601e-01]
 [ 1.11599251e+02  1.12978462e+02 -4.04144780e-01]
 [ 1.11457113e+02  1.13328061e+02 -4.04526890e-01]
 [ 1.11664138e+02  1.14035162e+02 -4.06182699e-01]
 [ 1.11798723e+02  1.14672030e+02 -4.07583768e-01]
 [ 1.11826476e+02  1.15202293e+02 -4.08602727e-01]
 [ 1.11921993e+02  1.15805200e+02 -4.09876427e-01]
 [ 1.11772501e+02  1.16156627e+02 -4.10258537e-01]
 [ 1.12175959e+02  1.17086158e+02 -4.12678565e-01]
 [ 1.12023190e+02  1.17438587e+02 -4.13060675e-01]
 [ 1.12386369e+02  1.18335228e+02 -4.15353334e-01]
 [ 1.12299152e+02  1.18761294e+02 -4.15990183e-01]
 [ 1.12485050e+02  1.19479037e+02 -4.17645992e-01]
 [ 1.12771014e+02  1.20307689e+02 -4.19683911e-01]
 [ 1.13088031e+02  1.21174738e+02 -4.21849200e-01]
 [ 1.13095205e+02  1.21713788e+02 -4.22868159e-01]
 [ 1.12930628e+02  1.22069779e+02 -4.23250269e-01]
 [ 1.12697230e+02  1.22352007e+02 -4.23377639e-01]
 [ 1.12294017e+02  1.22449389e+02 -4.22868159e-01]
 [ 1.12160857e+02  1.22841247e+02 -4.23377639e-01]
 [ 1.11555252e+02  1.22714698e+02 -4.22103940e-01]
 [ 1.11085050e+02  1.22734517e+02 -4.21339720e-01]
 [ 1.10615302e+02  1.22752868e+02 -4.20575501e-01]
 [ 1.09978912e+02  1.22583519e+02 -4.19174431e-01]
 [ 1.08510378e+02  1.21478970e+02 -4.14589114e-01]
 [ 1.05085173e+02  1.18162422e+02 -4.02488971e-01]
 [ 1.05456716e+02  1.19102632e+02 -4.04909000e-01]
 [ 1.05328286e+02  1.19481947e+02 -4.05418479e-01]
 [ 1.04670559e+02  1.19259519e+02 -4.03890040e-01]
 [ 1.04475277e+02  1.19562336e+02 -4.04144780e-01]
 [ 1.03983573e+02  1.19525096e+02 -4.03253191e-01]
 [ 1.03558046e+02  1.19561942e+02 -4.02616341e-01]
 [ 1.02904112e+02  1.19332232e+02 -4.01087902e-01]
 [ 1.02740609e+02  1.19669742e+02 -4.01470012e-01]
 [ 1.02381044e+02  1.19778885e+02 -4.01087902e-01]
 [ 1.01762053e+02  1.19582178e+02 -3.99686833e-01]
 [ 1.01500220e+02  1.19803303e+02 -3.99686833e-01]
 [ 1.00915284e+02  1.19641374e+02 -3.98413133e-01]
 [ 1.00556788e+02  1.19745701e+02 -3.98031023e-01]
 [ 9.99094682e+01  1.19503541e+02 -3.96502584e-01]
 [ 9.96798141e+01  1.19759101e+02 -3.96629954e-01]
 [ 9.92898943e+01  1.19821584e+02 -3.96120475e-01]
 [ 9.88683345e+01  1.19844344e+02 -3.95483625e-01]
 [ 9.83836342e+01  1.19788509e+02 -3.94592035e-01]
 [ 9.80263398e+01  1.19886077e+02 -3.94209926e-01]
 [ 9.75743170e+01  1.19866255e+02 -3.93445706e-01]
 [ 9.72488664e+01  1.20000522e+02 -3.93190966e-01]
 [ 9.68918755e+01  1.20095004e+02 -3.92808856e-01]
 [ 9.63469406e+01  1.19954445e+02 -3.91662527e-01]
 [ 9.59905647e+01  1.20046555e+02 -3.91280417e-01]
 [ 9.55095921e+01  1.19981109e+02 -3.90388828e-01]
 [ 9.50293710e+01  1.19914138e+02 -3.89497238e-01]
 [ 9.47978170e+01  1.20159895e+02 -3.89624608e-01]
 [ 9.44729285e+01  1.20287170e+02 -3.89369868e-01]
 [ 9.38397581e+01  1.20019452e+02 -3.87841429e-01]
 [ 9.36691736e+01  1.20341792e+02 -3.88223539e-01]
 [ 9.30686035e+01  1.20110268e+02 -3.86822470e-01]
 [ 9.26222853e+01  1.20074785e+02 -3.86058250e-01]
 [ 9.21460946e+01  1.19998249e+02 -3.85166661e-01]
 [ 9.20352973e+01  1.20397193e+02 -3.85803510e-01]
 [ 9.14384221e+01  1.20159203e+02 -3.84402441e-01]
 [ 9.11149297e+01  1.20278106e+02 -3.84147701e-01]
 [ 9.08214757e+01  1.20436118e+02 -3.84020331e-01]
 [ 9.04376571e+01  1.20473394e+02 -3.83510852e-01]
 [ 8.97845675e+01  1.20148891e+02 -3.81855043e-01]
 [ 8.95812435e+01  1.20424238e+02 -3.82109783e-01]
 [ 8.91091890e+01  1.20337415e+02 -3.81218193e-01]
 [ 8.87566798e+01  1.20410196e+02 -3.80836083e-01]
 [ 8.83154877e+01  1.20361011e+02 -3.80071864e-01]
 [ 8.79339430e+01  1.20391284e+02 -3.79562384e-01]
 [ 8.73467568e+01  1.20137219e+02 -3.78161315e-01]
 [ 8.71717362e+01  1.20448562e+02 -3.78543425e-01]
 [ 8.68203152e+01  1.20516166e+02 -3.78161315e-01]
