Scaled Voxel Centers:
 [ 2.04005527e+00  2.14340868e+00 -3.85006092e-01]
 [ 1.98220628e+00  2.15678235e+00 -3.81135388e-01]
 [ 1.91332884e+00  2.15618721e+00 -3.75071284e-01]
 [ 1.85476241e+00  2.16515196e+00 -3.70942532e-01]
 [ 1.79268096e+00  2.16815105e+00 -3.66039639e-01]
 [ 1.72921160e+00  2.16732621e+00 -3.60749676e-01]
 [ 1.70987307e+00  2.22153572e+00 -3.64749405e-01]
 [ 1.70748545e+00  2.30040708e+00 -3.72748861e-01]
 [ 1.74382444e+00  2.43711536e+00 -3.89908985e-01]
 [ 1.70834287e+00  2.47779132e+00 -3.91586290e-01]
 [ 1.66154793e+00  2.50227204e+00 -3.90812149e-01]
 [ 1.37837171e+00  2.15656139e+00 -3.33009626e-01]
 [ 1.34727651e+00  2.19127056e+00 -3.34686932e-01]
 [ 1.47180117e+00  2.49018922e+00 -3.76361519e-01]
 [ 1.41979453e+00  2.50083620e+00 -3.74168119e-01]
 [ 1.36549451e+00  2.50607723e+00 -3.71329603e-01]
 [ 1.31236561e+00  2.51194836e+00 -3.68749133e-01]
 [ 1.25945051e+00  2.51673378e+00 -3.66168663e-01]
 [ 1.20505790e+00  2.51686513e+00 -3.63072099e-01]
 [ 1.15641078e+00  2.52759378e+00 -3.61652841e-01]
 [ 1.10418708e+00  2.52921468e+00 -3.59072371e-01]
 [ 1.05416537e+00  2.53436629e+00 -3.57137019e-01]
 [ 1.00065391e+00  2.52932549e+00 -3.53911431e-01]
 [ 2.66422035e+00  5.12286942e-01 -1.27074742e-01]
 [ 2.66758137e+00  5.61380168e-01 -1.27682979e-01]
 [ 2.67295772e+00  6.11414235e-01 -1.28431579e-01]
 [ 2.67739548e+00  6.61805798e-01 -1.29180178e-01]
 [ 2.66929916e+00  7.09458312e-01 -1.29367328e-01]
 [ 2.67188306e+00  7.60310319e-01 -1.30115927e-01]
 [ 2.68305887e+00  8.14368419e-01 -1.31332401e-01]
 [ 2.67224009e+00  8.62297228e-01 -1.31519551e-01]
 [ 2.67474157e+00  9.14945636e-01 -1.32408513e-01]
 [ 2.67057775e+00  9.65903741e-01 -1.33016750e-01]
 [ 2.66917942e+00  1.01841815e+00 -1.33812137e-01]
 [ 2.66212213e+00  1.06931450e+00 -1.34373586e-01]
 [ 2.66422106e+00  1.12454635e+00 -1.35449698e-01]
 [ 2.66885009e+00  1.18179217e+00 -1.36712959e-01]
 [ 2.67047267e+00  1.23869814e+00 -1.37882646e-01]
 [ 2.66642151e+00  1.29383723e+00 -1.38818395e-01]
 [ 2.66749041e+00  1.35237127e+00 -1.40081656e-01]
 [ 2.67526733e+00  1.41553775e+00 -1.41766005e-01]
 [ 2.67377055e+00  1.47503989e+00 -1.43029266e-01]
 [ 2.67793334e+00  1.53889848e+00 -1.44666827e-01]
 [ 2.68495863e+00  1.60591024e+00 -1.46538326e-01]
 [ 2.68790559e+00  1.67204686e+00 -1.48269462e-01]
 [ 2.68348053e+00  1.73497297e+00 -1.49673086e-01]
 [ 2.69674294e+00  1.81105798e+00 -1.52152821e-01]
 [ 2.69995953e+00  1.88241249e+00 -1.54164682e-01]
 [ 2.70149635e+00  1.95442328e+00 -1.56176543e-01]
 [ 2.72609955e+00  2.04563944e+00 -1.59638815e-01]
 [ 2.64110286e+00  2.05487442e+00 -1.56737992e-01]
 [ 2.54729848e+00  2.05425242e+00 -1.53275720e-01]
 [ 2.46736824e+00  2.06188553e+00 -1.50608835e-01]
 [ 2.74360717e+00  2.04347376e+00 -8.69933728e-03]
 [ 2.72713224e+00  2.04046827e+00 -8.66119344e-03]
 [ 2.71627916e+00  2.04160645e+00 -8.64085007e-03]
 [ 2.71181850e+00  2.04752771e+00 -8.64085007e-03]
 [ 2.70176784e+00  2.04920892e+00 -8.62304961e-03]
 [ 2.67899595e+00  2.04115931e+00 -8.56456240e-03]
 [ 2.65468393e+00  2.03180461e+00 -8.50098934e-03]
 [ 2.64310996e+00  2.03210577e+00 -8.47810304e-03]
 [ 2.63154723e+00  2.03236628e+00 -8.45521674e-03]
 [ 2.61604555e+00  2.02952107e+00 -8.41961582e-03]
 [ 2.60766779e+00  2.03215010e+00 -8.40690121e-03]
 [ 2.59614132e+00  2.03228663e+00 -8.38401491e-03]
 [ 2.59012925e+00  2.03670942e+00 -8.37892907e-03]
 [ 2.57704757e+00  2.03553729e+00 -8.35095692e-03]
 [ 2.56633362e+00  2.03618230e+00 -8.33061354e-03]
 [ 2.55406512e+00  2.03554376e+00 -8.30518432e-03]
 [ 2.54259231e+00  2.03548637e+00 -8.28229802e-03]
 [ 2.53658684e+00  2.03977540e+00 -8.27721217e-03]
 [ 2.52123985e+00  2.03650747e+00 -8.24161126e-03]
 [ 2.51446127e+00  2.04011292e+00 -8.23398249e-03]
 [ 2.50302794e+00  2.03990802e+00 -8.21109619e-03]
 [ 2.49547645e+00  2.04283015e+00 -8.20092450e-03]
 [ 2.48792403e+00  2.04572919e+00 -8.19075281e-03]
 [ 2.47959995e+00  2.04796807e+00 -8.17803820e-03]
 [ 2.46589056e+00  2.04571097e+00 -8.14752313e-03]
 [ 2.45066639e+00  2.04212351e+00 -8.11192222e-03]
 [ 2.44620537e+00  2.04746514e+00 -8.11192222e-03]
 [ 2.43560911e+00  2.04764909e+00 -8.09157884e-03]
 [ 2.42578787e+00  2.04844161e+00 -8.07377839e-03]
 [ 2.41444956e+00  2.04790735e+00 -8.05089209e-03]
 [ 2.40236395e+00  2.04668490e+00 -8.02546286e-03]
 [ 2.38953541e+00  2.04476932e+00 -7.99749072e-03]
 [ 2.37520984e+00  2.04150404e+00 -7.96443273e-03]
 [ 2.37075035e+00  2.04668106e+00 -7.96443273e-03]
 [ 2.36250199e+00  2.04857271e+00 -7.95171812e-03]
 [ 2.35124033e+00  2.04781104e+00 -7.92883181e-03]
 [ 2.34676713e+00  2.05293575e+00 -7.92883181e-03]
 [ 2.33026323e+00  2.04748994e+00 -7.88814506e-03]
 [ 2.32429124e+00  2.05124550e+00 -7.88305921e-03]
 [ 2.31756563e+00  2.05432142e+00 -7.87543045e-03]
 [ 2.30635642e+00  2.05338803e+00 -7.85254414e-03]
 [ 2.29814404e+00  2.05508187e+00 -7.83982953e-03]
 [ 2.28844720e+00  2.05541339e+00 -7.82202908e-03]
 [ 2.28024503e+00  2.05705193e+00 -7.80931447e-03]
 [ 2.27056452e+00  2.05732158e+00 -7.79151401e-03]
 [ 2.26089371e+00  2.05755880e+00 -7.77371355e-03]
 [ 2.25418501e+00  2.06046248e+00 -7.76608479e-03]
 [ 2.24084482e+00  2.05725999e+00 -7.73556972e-03]
 [ 2.23194032e+00  2.05807648e+00 -7.72031218e-03]
 [ 2.22157559e+00  2.05750495e+00 -7.69996881e-03]
 [ 2.22001033e+00  2.06507111e+00 -7.71014049e-03]
 [ 2.21330755e+00  2.06786155e+00 -7.70251173e-03]
 [ 2.21827072e+00  2.08158093e+00 -7.73556972e-03]
 [ 2.21590733e+00  2.08847307e+00 -7.74319848e-03]
 [ 2.21715552e+00  2.09880207e+00 -7.76354186e-03]
 [ 2.22054332e+00  2.11121355e+00 -7.79151401e-03]
 [ 2.22388735e+00  2.12364990e+00 -7.81948615e-03]
 [ 2.21780559e+00  2.12711219e+00 -7.81440031e-03]
 [ 2.21748088e+00  2.13610820e+00 -7.82965784e-03]
 [ 2.21712744e+00  2.14511290e+00 -7.84491538e-03]
 [ 2.21746242e+00  2.15482310e+00 -7.86271583e-03]
 [ 2.21848106e+00  2.16524355e+00 -7.88305921e-03]
 [ 2.22374957e+00  2.17987870e+00 -7.91866013e-03]
 [ 2.22112631e+00  2.18682969e+00 -7.92628889e-03]
 [ 2.22132749e+00  2.19659215e+00 -7.94408935e-03]
 [ 2.22433470e+00  2.20918460e+00 -7.97206149e-03]
 [ 2.22163355e+00  2.21615088e+00 -7.97969026e-03]
 [ 2.22315132e+00  2.22736238e+00 -8.00257656e-03]
 [ 2.22533560e+00  2.23930034e+00 -8.02800579e-03]
 [ 2.22185162e+00  2.24557161e+00 -8.03309163e-03]
 [ 2.22677231e+00  2.26038690e+00 -8.06869254e-03]
 [ 2.22393621e+00  2.26738142e+00 -8.07632131e-03]
 [ 2.22806703e+00  2.28152855e+00 -8.10937930e-03]
 [ 2.23075245e+00  2.29427054e+00 -8.13735145e-03]
 [ 2.23130621e+00  2.30487962e+00 -8.15769482e-03]
 [ 2.23321208e+00  2.31694214e+00 -8.18312405e-03]
 [ 2.23022922e+00  2.32397322e+00 -8.19075281e-03]
 [ 2.23827953e+00  2.34257056e+00 -8.23906834e-03]
 [ 2.23523129e+00  2.34962169e+00 -8.24669711e-03]
 [ 2.24247791e+00  2.36756100e+00 -8.29246971e-03]
 [ 2.24073764e+00  2.37608540e+00 -8.30518432e-03]
 [ 2.24444692e+00  2.39044546e+00 -8.33824231e-03]
 [ 2.25015285e+00  2.40702450e+00 -8.37892907e-03]
 [ 2.25647839e+00  2.42437175e+00 -8.42215875e-03]
 [ 2.25662153e+00  2.43515666e+00 -8.44250212e-03]
 [ 2.25333768e+00  2.44227904e+00 -8.45013089e-03]
 [ 2.24868062e+00  2.44792566e+00 -8.45267381e-03]
 [ 2.24063520e+00  2.44987401e+00 -8.44250212e-03]
 [ 2.23797822e+00  2.45771399e+00 -8.45267381e-03]
 [ 2.22589439e+00  2.45518210e+00 -8.42724459e-03]
 [ 2.21651232e+00  2.45557862e+00 -8.41198706e-03]
 [ 2.20713929e+00  2.45594577e+00 -8.39672952e-03]
 [ 2.19444122e+00  2.45255758e+00 -8.36875738e-03]
 [ 2.16513915e+00  2.43045859e+00 -8.27721217e-03]
 [ 2.09679503e+00  2.36410364e+00 -8.03563455e-03]
 [ 2.10420853e+00  2.38291463e+00 -8.08395008e-03]
 [ 2.10164593e+00  2.39050369e+00 -8.09412177e-03]
